task,planner,budget,n,score_mean,score_se,score_best,feasibility_rate,source_csv
bcst_hard_H6_A6_S120,random,100,20,1597.286910011507,4.286299785729612,1525.708913236973,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,100,20,1587.8761356721163,0.0,1587.8761356721163,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,100,20,1590.745519893686,4.04460853074339,1524.3566785601638,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,100,20,1597.6648971788165,2.5148422419334895,1583.3865334008265,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,100,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,random,500,20,1588.3436397494022,3.530853303882276,1525.708913236973,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,500,20,1523.8157846894399,0.0,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,500,20,1564.8537526052276,6.825174321768987,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,500,20,1554.0011220637157,7.448357858857338,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,500,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,random,1000,20,1568.474742330101,6.5892288906633425,1524.1763806032554,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,1000,20,1523.8157846894399,0.0,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,1000,20,1533.5458757627343,4.920855545535112,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,1000,20,1547.0390881211615,7.039070469606107,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,1000,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,random,5000,20,1536.362251033901,5.465999594575568,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,5000,20,1523.8157846894399,0.0,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,5000,20,1523.9480031911721,0.06631740167443938,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,5000,20,1523.9164510487133,0.041148634598469014,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,5000,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,random,10000,20,1527.2375713387469,2.9472338115835655,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,beam,10000,20,1523.8157846894399,0.0,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,cem,10000,20,1523.9480031911721,0.06631740167443938,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,evolutionary,10000,20,1523.8338144851305,0.012408956429770178,1523.8157846894399,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H6_A6_S120,open_loop_mcts,10000,20,7977.994245720884,4298.127471045897,1585.8160370075204,0.85,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,100,20,1435.1182826511797,44.265149924663184,636.8228987458613,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,100,20,1447.060107888922,0.0,1447.060107888922,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,cem,100,20,1373.869809609625,32.18272018688038,1095.9937576486889,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,evolutionary,100,20,1399.3488738223539,27.052456264834802,1098.5504341132867,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,open_loop_mcts,100,20,1311.7027308447425,51.97810067420396,961.3305228933987,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,500,20,1328.0423710999753,47.65863007079032,636.8228987458613,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,500,20,798.9550770958126,0.0,798.9550770958126,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,cem,500,20,982.7036270890484,42.91522265575312,637.955436598666,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,evolutionary,500,20,937.1712567514327,58.09600296600556,636.5248624688072,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,open_loop_mcts,500,20,1311.7027308447425,51.97810067420396,961.3305228933987,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,1000,20,1201.2799970229933,61.992594173930705,636.8228987458613,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,1000,20,798.9550770958126,0.0,798.9550770958126,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,cem,1000,20,684.6302243569063,25.48653106957765,635.7499681484676,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,evolutionary,1000,20,747.8840792369315,25.145463282133,635.3923246160026,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,open_loop_mcts,1000,20,1311.7027308447425,51.97810067420396,961.3305228933987,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,5000,20,882.9829962068326,48.07148274906019,635.5711463822352,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,5000,20,798.9550770958126,0.0,798.9550770958126,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,cem,5000,20,635.5592249311528,0.07371742046647908,635.3923246160026,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,evolutionary,5000,20,714.1803767134011,19.930736422655784,635.3923246160026,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,open_loop_mcts,5000,20,1311.7027308447425,51.97810067420396,961.3305228933987,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,random,10000,20,813.2979894346989,40.921535949590904,635.5711463822352,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,beam,10000,20,798.9550770958126,0.0,798.9550770958126,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,cem,10000,20,635.5592249311528,0.07371742046647908,635.3923246160026,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,evolutionary,10000,20,714.0493329844933,19.938711075708905,635.3923246160026,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H8_A6_S120,open_loop_mcts,10000,20,1311.7027308447425,51.97810067420396,961.3305228933987,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,random,100,20,1536.3340946697454,43.980373205435455,1230.1504266113425,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,beam,100,20,1434.4106656116232,0.0,1434.4106656116232,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,cem,100,20,965.5934066392758,105.25649707625895,251.9174212161013,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,evolutionary,100,20,1329.8078328600304,74.98281237870067,377.55907726800194,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,open_loop_mcts,100,20,818.3383005715625,109.76040733776364,249.4579237377198,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,random,500,20,1385.124304877665,43.86810827358291,625.9596605747352,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,beam,500,20,252.21735993297713,0.0,252.21735993297713,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,cem,500,20,388.5370996732127,58.36052377261698,247.95823015334082,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,evolutionary,500,20,306.51812259148,21.603449212397972,245.85865913521025,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,open_loop_mcts,500,20,700.9962562778446,92.62513646426186,249.4579237377198,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,random,1000,20,1166.1175883271828,88.69598200979851,390.9055049113108,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,beam,1000,20,252.21735993297713,0.0,252.21735993297713,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,cem,1000,20,247.59530430592108,0.3968287603710081,244.95884298458284,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,evolutionary,1000,20,253.56039966202334,5.996481501501621,243.63911263032935,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,open_loop_mcts,1000,20,700.9962562778446,92.62513646426186,249.4579237377198,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,random,5000,20,503.7187759771988,50.92230119380704,248.43813210034202,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,beam,5000,20,252.21735993297713,0.0,252.21735993297713,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,cem,5000,20,244.40695574553135,0.11253015331377232,243.63911263032935,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,evolutionary,5000,20,244.42795145571267,0.14843178897217602,243.63911263032935,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,open_loop_mcts,5000,20,700.9962562778446,92.62513646426186,249.4579237377198,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,random,10000,20,378.76651157863955,22.90966765315631,248.43813210034202,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,beam,10000,20,252.21735993297713,0.0,252.21735993297713,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,cem,10000,20,244.40695574553135,0.11253015331377232,243.63911263032935,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,evolutionary,10000,20,243.86106728081742,0.0782265547415531,243.63911263032935,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H10_A6_S120,open_loop_mcts,10000,20,700.9962562778446,92.62513646426186,249.4579237377198,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,random,100,20,2088.35208648502,78.72427683546164,1467.3435261693485,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,beam,100,20,1487.1724534417333,0.0,1487.1724534417333,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,cem,100,20,1198.417967897817,116.34449556407566,134.73734491016174,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,evolutionary,100,20,1535.3228066453169,90.8832691063165,250.1779459024001,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,open_loop_mcts,100,20,741.8462508418814,136.63793527263738,145.23664954182402,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,random,500,20,1547.8863324416852,38.53611444739046,1437.9062813849737,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,beam,500,20,146.30862052998043,0.0,146.30862052998043,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,cem,500,20,493.48165526756435,109.51088042001896,138.46608589011555,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,evolutionary,500,20,144.63195994645525,5.357515977785879,127.04319800451614,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,open_loop_mcts,500,20,342.9336730204139,87.39160616051653,137.9251920193917,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,random,1000,20,1510.985020955954,28.90179726858357,1436.1966382807584,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,beam,1000,20,146.30862052998043,0.0,146.30862052998043,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,cem,1000,20,134.80310672228273,0.7886625126984625,128.00880438945418,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,evolutionary,1000,20,133.77217178454674,0.6046802886612811,127.04319800451614,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,open_loop_mcts,1000,20,342.9336730204139,87.39160616051653,137.9251920193917,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,random,5000,20,1239.4688248434634,100.04662602210102,147.30814003155498,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,beam,5000,20,146.30862052998043,0.0,146.30862052998043,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,cem,5000,20,127.42397047791495,0.28454761223138963,125.60054545970756,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,evolutionary,5000,20,129.2608977585617,0.376648915697653,125.60054545970756,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,open_loop_mcts,5000,20,342.9336730204139,87.39160616051653,137.9251920193917,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,random,10000,20,800.6802424533486,135.09331102889286,132.87684922596893,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,beam,10000,20,146.30862052998043,0.0,146.30862052998043,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
bcst_hard_H12_A6_S120,cem,10000,20,127.35766484446967,0.2757475746665608,125.60054545970756,1.0,results/large_scale_calibrated_multiseed_bcst_hard_governed_wowa_balanced_raw.csv
