sequence,mean,worst,prob_catastrophic,prob_moderate_harm,prob_toxicity,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_toxicity,viol_moderate_harm,violation_score,feasible
spare|spare|spare|spare,2158.1982248000004,8652.6944,0.25108800000000003,0.12021600000000002,0.0,8589.220000000001,8611.374128128002,8542.2544,8570.715572608,8506.28,8547.842077568002,8128.780000000001,8333.781145600002,4413.080525271078,5322.991296231667,7095.003718285347,8385.031432,0.12108800000000003,0.0,0.0,121088.00000000003,False
spare|spare|spare|standard,1120.5144151040001,8679.100999999999,0.12021600000000002,0.07809600000000001,0.0,8609.329000000002,8630.69693824,8548.122,8584.2274457856,8160.954000000001,8483.057599200001,151.925,4137.3094748249605,2991.8152442724045,3911.2354802492005,6019.018724348235,5133.655593531201,0.0,0.0,0.0,0.0,True
spare|spare|spare|boost,1269.9126507840003,10314.5833,0.07809600000000001,0.26544480000000004,0.24000000000000002,10225.7473,10251.568729350402,8209.229800000001,9163.4115345664,2175.1472999999996,7363.654019433602,2159.7524999999996,4242.455643058176,3111.5849552500995,4024.7958404514825,6267.547188291187,4763.13142882272,0.0,0.0,0.0,0.0,True
spare|spare|spare|protect,5252.370842799999,8644.632800000001,0.6290319999999999,0.3325200000000001,0.0,8587.99,8609.197073536003,8552.5528,8574.766046463998,8522.5328,8552.898666521602,8495.91,8524.0192752,7028.448829811809,7467.025159007195,8171.893952983504,8531.046594,0.4990319999999999,0.0,0.0,499031.99999999994,False
spare|spare|standard|spare,1120.5144151040001,8679.100999999999,0.12021600000000002,0.07809600000000001,0.0,8609.329000000002,8630.69693824,8548.122,8584.2274457856,8160.954000000001,8483.057599200001,151.925,4137.3094748249605,2991.8152442724045,3911.2354802492005,6019.018724348235,5133.655593531201,0.0,0.0,0.0,0.0,True
spare|spare|standard|standard,1261.8650059520005,10305.5076,0.07809600000000001,0.26544480000000004,0.24000000000000002,10217.1996,10242.970877260801,8203.9896,9156.8314789632,2166.5995999999996,7356.967402995202,2148.83,4233.185678323713,3103.53708254398,4016.7629579902223,6259.592345741141,4754.274597904641,0.0,0.0,0.0,0.0,True
spare|spare|standard|boost,940.8662745600002,10340.989899999999,0.03348,0.25264032000000003,0.24000000000000002,8659.0374,9962.413352275202,2219.7699000000002,6677.121594095999,2206.6575000000003,4446.16779943968,2206.6575000000003,3102.461619775872,2179.0235328700105,2874.3714522144423,4736.519495528594,3326.41264971984,0.0,0.0,0.0,0.0,True
spare|spare|standard|protect,2842.3229140000003,8671.0394,0.3325200000000001,0.17433600000000005,0.0,8608.099,8628.519883648001,8558.4204,8587.2724724736,8533.8244,8566.8590560768,8145.48,8427.19140423168,5185.064198922586,6007.936241296263,7506.701716820892,8496.9169776544,0.2025200000000001,0.0,0.0,202520.0000000001,False
spare|spare|boost|spare,1269.9126507840003,10314.5833,0.07809600000000001,0.26544480000000004,0.24000000000000002,10225.7473,10251.568729350402,8209.229800000001,9163.4115345664,2175.1472999999996,7363.654019433602,2159.7524999999996,4242.455643058176,3111.5849552500995,4024.7958404514825,6267.547188291187,4763.13142882272,0.0,0.0,0.0,0.0,True
spare|spare|boost|standard,940.8662745600002,10340.989899999999,0.03348,0.25264032000000003,0.24000000000000002,8659.0374,9962.413352275202,2219.7699000000002,6677.121594095999,2206.6575000000003,4446.16779943968,2206.6575000000003,3102.461619775872,2179.0235328700105,2874.3714522144423,4736.519495528594,3326.41264971984,0.0,0.0,0.0,0.0,True
spare|spare|boost|boost,1169.9525058880001,10376.4722,0.016632,0.4072,0.4072,10225.1772,10289.41654176,2280.5962,4936.56302223232,2264.485,3603.66309154624,2264.485,2800.156236618496,2208.6233848135375,2748.719918975655,4170.766976232727,2934.0740457731204,0.0,0.06719999999999998,0.0,67199.99999999999,False
spare|spare|boost|protect,2033.5546839360002,10306.521700000001,0.17433600000000005,0.29935296000000006,0.24000000000000002,10224.2857,10247.566268473602,8601.164200000001,9944.69936557312,8550.5642,9256.993297702402,2123.8725,6781.940995094787,4413.4201369587945,5443.576588044844,7649.954734600292,7944.663978585602,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|spare|protect|spare,5252.370842799999,8644.632800000001,0.6290319999999999,0.3325200000000001,0.0,8587.99,8609.197073536003,8552.5528,8574.766046463998,8522.5328,8552.898666521602,8495.91,8524.0192752,7028.448829811809,7467.025159007195,8171.893952983504,8531.046594,0.4990319999999999,0.0,0.0,499031.99999999994,False
spare|spare|protect|standard,2842.3229140000003,8671.0394,0.3325200000000001,0.17433600000000005,0.0,8608.099,8628.519883648001,8558.4204,8587.2724724736,8533.8244,8566.8590560768,8145.48,8427.19140423168,5185.064198922586,6007.936241296263,7506.701716820892,8496.9169776544,0.2025200000000001,0.0,0.0,202520.0000000001,False
spare|spare|protect|boost,2033.5546839360002,10306.521700000001,0.17433600000000005,0.29935296000000006,0.24000000000000002,10224.2857,10247.566268473602,8601.164200000001,9944.69936557312,8550.5642,9256.993297702402,2123.8725,6781.940995094787,4413.4201369587945,5443.576588044844,7649.954734600292,7944.663978585602,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|spare|protect|protect,5366.3384639999995,8636.571199999998,0.6290319999999999,0.6290319999999999,0.0,8585.971199999998,8607.149912217601,8562.8512,8579.835197056,8527.339999999998,8556.742914467837,8512.251199999999,8532.563237657598,7118.106318166446,7542.3733008722875,8209.794394131173,8537.601977452798,0.4990319999999999,0.0,0.0,499031.99999999994,False
spare|standard|spare|spare,1120.5144151040001,8679.100999999999,0.12021600000000002,0.07809600000000001,0.0,8609.329000000002,8630.69693824,8548.122,8584.2274457856,8160.954000000001,8483.057599200001,151.925,4137.3094748249605,2991.8152442724045,3911.2354802492005,6019.018724348235,5133.655593531201,0.0,0.0,0.0,0.0,True
spare|standard|spare|standard,1261.8650059520005,10305.5076,0.07809600000000001,0.26544480000000004,0.24000000000000002,10217.1996,10242.970877260801,8203.9896,9156.8314789632,2166.5995999999996,7356.967402995202,2148.83,4233.185678323713,3103.53708254398,4016.7629579902223,6259.592345741141,4754.274597904641,0.0,0.0,0.0,0.0,True
spare|standard|spare|boost,940.8662745600002,10340.989899999999,0.03348,0.25264032000000003,0.24000000000000002,8659.0374,9962.413352275202,2219.7699000000002,6677.121594095999,2206.6575000000003,4446.16779943968,2206.6575000000003,3102.461619775872,2179.0235328700105,2874.3714522144423,4736.519495528594,3326.41264971984,0.0,0.0,0.0,0.0,True
spare|standard|spare|protect,2842.3229140000003,8671.0394,0.3325200000000001,0.17433600000000005,0.0,8608.099,8628.519883648001,8558.4204,8587.2724724736,8533.8244,8566.8590560768,8145.48,8427.19140423168,5185.064198922586,6007.936241296263,7506.701716820892,8496.9169776544,0.2025200000000001,0.0,0.0,202520.0000000001,False
spare|standard|standard|spare,1261.8650059520005,10305.5076,0.07809600000000001,0.26544480000000004,0.24000000000000002,10217.1996,10242.970877260801,8203.9896,9156.8314789632,2166.5995999999996,7356.967402995202,2148.83,4233.185678323713,3103.53708254398,4016.7629579902223,6259.592345741141,4754.274597904641,0.0,0.0,0.0,0.0,True
spare|standard|standard|standard,932.6614652480001,10331.9142,0.03348,0.25264032000000003,0.24000000000000002,8653.269199999999,9954.3616163456,2208.3182,6669.819493855999,2195.735,4437.164845466239,2195.735,3092.306938186496,2170.67537770675,2865.948598164125,4728.121710585917,3316.4499227331203,0.0,0.0,0.0,0.0,True
spare|standard|standard|boost,1161.5135021760002,10367.3965,0.016632,0.4072,0.4072,10219.409,10282.328093600001,2269.1445,4927.004801404801,2253.5625,3593.3196226512005,2253.5625,2789.46534906048,2199.74029880201,2739.647408115837,4161.5090290504795,2923.4410613256,0.0,0.06719999999999998,0.0,67199.99999999999,False
spare|standard|standard|protect,2025.986050208,10297.446,0.17433600000000005,0.29935296000000006,0.24000000000000002,10215.738000000001,10238.968416384003,8595.396,9936.617308185601,8544.796,9250.273505152003,2112.95,6774.844208652801,4405.9644162245095,5436.120727458958,7642.356368505816,7938.4195858208,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|standard|boost|spare,940.8662745600002,10340.989899999999,0.03348,0.25264032000000003,0.24000000000000002,8659.0374,9962.413352275202,2219.7699000000002,6677.121594095999,2206.6575000000003,4446.16779943968,2206.6575000000003,3102.461619775872,2179.0235328700105,2874.3714522144423,4736.519495528594,3326.41264971984,0.0,0.0,0.0,0.0,True
spare|standard|boost|standard,1161.5135021760002,10367.3965,0.016632,0.4072,0.4072,10219.409,10282.328093600001,2269.1445,4927.004801404801,2253.5625,3593.3196226512005,2253.5625,2789.46534906048,2199.74029880201,2739.647408115837,4161.5090290504795,2923.4410613256,0.0,0.06719999999999998,0.0,67199.99999999999,False
spare|standard|boost|boost,2265.846453856001,10402.878799999999,0.004752,1.0,1.0,2329.9708,6130.6365568,2329.9708,3090.10395136,2311.39,2701.9382873881596,2236.1488,2465.68660734976,2518.8841038558994,2679.7836014692302,3203.8919686200634,2506.66414369408,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
spare|standard|boost|protect,1279.6271517600003,10332.928300000001,0.07809600000000001,0.26544480000000004,0.24000000000000002,10245.588300000001,10270.423587398402,8225.3958,9179.968434432001,2194.9883,7380.462057737602,2170.7774999999997,4255.895012161537,3123.7483513084526,4037.873289041519,6282.658077555708,4777.174390201922,0.0,0.0,0.0,0.0,True
spare|standard|protect|spare,2842.3229140000003,8671.0394,0.3325200000000001,0.17433600000000005,0.0,8608.099,8628.519883648001,8558.4204,8587.2724724736,8533.8244,8566.8590560768,8145.48,8427.19140423168,5185.064198922586,6007.936241296263,7506.701716820892,8496.9169776544,0.2025200000000001,0.0,0.0,202520.0000000001,False
spare|standard|protect|standard,2025.986050208,10297.446,0.17433600000000005,0.29935296000000006,0.24000000000000002,10215.738000000001,10238.968416384003,8595.396,9936.617308185601,8544.796,9250.273505152003,2112.95,6774.844208652801,4405.9644162245095,5436.120727458958,7642.356368505816,7938.4195858208,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|standard|protect|boost,1279.6271517600003,10332.928300000001,0.07809600000000001,0.26544480000000004,0.24000000000000002,10245.588300000001,10270.423587398402,8225.3958,9179.968434432001,2194.9883,7380.462057737602,2170.7774999999997,4255.895012161537,3123.7483513084526,4037.873289041519,6282.658077555708,4777.174390201922,0.0,0.0,0.0,0.0,True
spare|standard|protect|protect,5268.137855999999,8662.9778,0.6290319999999999,0.3325200000000001,0.0,8606.868999999999,8626.342829056,8568.718799999999,8591.082719424,8537.522799999999,8569.7646063616,8512.61,8540.768856704,7044.147771465535,7481.86930309666,8186.956053430431,8547.80857088,0.4990319999999999,0.0,0.0,499031.99999999994,False
spare|boost|spare|spare,1269.9126507840003,10314.5833,0.07809600000000001,0.26544480000000004,0.24000000000000002,10225.7473,10251.568729350402,8209.229800000001,9163.4115345664,2175.1472999999996,7363.654019433602,2159.7524999999996,4242.455643058176,3111.5849552501,4024.7958404514825,6267.547188291187,4763.13142882272,0.0,0.0,0.0,0.0,True
spare|boost|spare|standard,940.8662745600003,10340.989899999999,0.03348,0.25264032000000003,0.24000000000000002,8659.0374,9962.413352275202,2219.7699000000002,6677.121594095999,2206.6575000000003,4446.16779943968,2206.6575000000003,3102.461619775872,2179.0235328700105,2874.3714522144423,4736.519495528594,3326.41264971984,0.0,0.0,0.0,0.0,True
spare|boost|spare|boost,1169.9525058880001,10376.4722,0.016632,0.4072,0.4072,10225.1772,10289.41654176,2280.5962,4936.56302223232,2264.485,3603.66309154624,2264.485,2800.156236618496,2208.6233848135375,2748.719918975655,4170.766976232727,2934.0740457731204,0.0,0.06719999999999998,0.0,67199.99999999999,False
spare|boost|spare|protect,2033.5546839360002,10306.521700000001,0.17433600000000005,0.29935296000000006,0.24000000000000002,10224.2857,10247.566268473602,8601.164200000001,9944.69936557312,8550.5642,9256.993297702402,2123.8725,6781.940995094787,4413.4201369587945,5443.576588044844,7649.954734600292,7944.663978585602,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|boost|standard|spare,940.8662745600002,10340.989899999999,0.03348,0.25264032000000003,0.24000000000000002,8659.0374,9962.413352275202,2219.7699000000002,6677.121594095999,2206.6575000000003,4446.16779943968,2206.6575000000003,3102.461619775872,2179.0235328700105,2874.3714522144423,4736.519495528594,3326.41264971984,0.0,0.0,0.0,0.0,True
spare|boost|standard|standard,1161.5135021760002,10367.3965,0.016632,0.4072,0.4072,10219.409,10282.328093600001,2269.1445,4927.004801404801,2253.5625,3593.3196226512005,2253.5625,2789.46534906048,2199.74029880201,2739.647408115837,4161.5090290504795,2923.4410613256,0.0,0.06719999999999998,0.0,67199.99999999999,False
spare|boost|standard|boost,2265.846453856001,10402.878799999999,0.004752,1.0,1.0,2329.9708,6130.6365568,2329.9708,3090.10395136,2311.39,2701.9382873881596,2236.1488,2465.68660734976,2518.8841038558994,2679.7836014692302,3203.8919686200634,2506.66414369408,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
spare|boost|standard|protect,1279.6271517600003,10332.928300000001,0.07809600000000001,0.26544480000000004,0.24000000000000002,10245.588300000001,10270.423587398402,8225.3958,9179.968434432001,2194.9883,7380.462057737602,2170.7774999999997,4255.895012161537,3123.7483513084526,4037.873289041519,6282.658077555708,4777.174390201922,0.0,0.0,0.0,0.0,True
spare|boost|boost|spare,1169.9525058880001,10376.4722,0.016632,0.4072,0.4072,10225.1772,10289.41654176,2280.5962,4936.56302223232,2264.485,3603.66309154624,2264.485,2800.156236618496,2208.6233848135375,2748.719918975655,4170.766976232727,2934.0740457731204,0.0,0.06719999999999998,0.0,67199.99999999999,False
spare|boost|boost|standard,2265.846453856001,10402.878799999999,0.004752,1.0,1.0,2329.9708,6130.6365568,2329.9708,3090.10395136,2311.39,2701.9382873881596,2236.1488,2465.68660734976,2518.8841038558994,2679.7836014692302,3203.8919686200634,2506.66414369408,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
spare|boost|boost|boost,2309.7039361279994,10438.3611,0.004752,1.0,1.0,2390.7971,6166.290039680001,2390.7971,3145.8956879360003,2369.2175,2758.9401743379203,2255.9246,2522.2114920320005,2565.260292431983,2726.9394163837346,3245.370960941338,2564.07883716896,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
spare|boost|boost|protect,958.3402854880001,10368.410600000001,0.03348,0.25264032000000003,0.24000000000000002,8679.4756,9988.303948172801,2242.8346,6700.451338912,2228.605,4469.680876174721,2228.605,3125.0353504698883,2198.810748584356,2895.0311056176124,4758.973306335269,3349.14293808736,0.0,0.0,0.0,0.0,True
spare|boost|protect|spare,2033.5546839360002,10306.521700000001,0.17433600000000005,0.29935296000000006,0.24000000000000002,10224.2857,10247.566268473602,8601.164200000001,9944.69936557312,8550.5642,9256.993297702402,2123.8725,6781.940995094787,4413.4201369587945,5443.576588044844,7649.954734600292,7944.663978585602,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|boost|protect|standard,1279.6271517600003,10332.928300000001,0.07809600000000001,0.26544480000000004,0.24000000000000002,10245.588300000001,10270.423587398402,8225.3958,9179.968434432001,2194.9883,7380.462057737602,2170.7774999999997,4255.895012161537,3123.7483513084526,4037.873289041519,6282.658077555708,4777.174390201922,0.0,0.0,0.0,0.0,True
spare|boost|protect|boost,958.3402854880001,10368.4106,0.03348,0.25264032000000003,0.24000000000000002,8679.475599999998,9988.3039481728,2242.8346,6700.451338912,2228.605,4469.680876174721,2228.605,3125.0353504698883,2198.810748584356,2895.0311056176124,4758.973306335269,3349.14293808736,0.0,0.0,0.0,0.0,True
spare|boost|protect|protect,2889.544381600001,8698.4601,0.3325200000000001,0.25108800000000003,0.0,8635.1285,8653.325076992001,8584.5285,8610.955991844481,8559.4925,8591.299098509122,8516.495,8554.725292736,5238.078447476158,6056.855701138353,7545.455644916276,8564.28286592,0.2025200000000001,0.0,0.0,202520.0000000001,False
spare|protect|spare|spare,5252.370842799999,8644.632800000001,0.6290319999999999,0.3325200000000001,0.0,8587.99,8609.197073536003,8552.5528,8574.766046463998,8522.5328,8552.898666521602,8495.91,8524.0192752,7028.448829811809,7467.025159007195,8171.893952983504,8531.046594,0.4990319999999999,0.0,0.0,499031.99999999994,False
spare|protect|spare|standard,2842.3229140000003,8671.0394,0.3325200000000001,0.17433600000000005,0.0,8608.099,8628.519883648001,8558.4204,8587.2724724736,8533.8244,8566.8590560768,8145.48,8427.19140423168,5185.064198922586,6007.936241296263,7506.701716820892,8496.9169776544,0.2025200000000001,0.0,0.0,202520.0000000001,False
spare|protect|spare|boost,2033.5546839360002,10306.521700000001,0.17433600000000005,0.29935296000000006,0.24000000000000002,10224.2857,10247.566268473602,8601.164200000001,9944.69936557312,8550.5642,9256.993297702402,2123.8725,6781.940995094787,4413.4201369587945,5443.576588044844,7649.954734600292,7944.663978585602,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|protect|spare|protect,5366.3384639999995,8636.571199999998,0.6290319999999999,0.6290319999999999,0.0,8585.971199999998,8607.149912217601,8562.8512,8579.835197056,8527.339999999998,8556.742914467837,8512.251199999999,8532.563237657598,7118.106318166446,7542.3733008722875,8209.794394131173,8537.601977452798,0.4990319999999999,0.0,0.0,499031.99999999994,False
spare|protect|standard|spare,2842.3229140000003,8671.0394,0.3325200000000001,0.17433600000000005,0.0,8608.099,8628.519883648001,8558.4204,8587.2724724736,8533.8244,8566.8590560768,8145.48,8427.19140423168,5185.064198922586,6007.936241296263,7506.701716820892,8496.9169776544,0.2025200000000001,0.0,0.0,202520.0000000001,False
spare|protect|standard|standard,2025.986050208,10297.446,0.17433600000000005,0.29935296000000006,0.24000000000000002,10215.738000000001,10238.968416384003,8595.396,9936.617308185601,8544.796,9250.273505152003,2112.95,6774.844208652801,4405.9644162245095,5436.120727458958,7642.356368505816,7938.4195858208,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|protect|standard|boost,1279.6271517600003,10332.928300000001,0.07809600000000001,0.26544480000000004,0.24000000000000002,10245.588300000001,10270.423587398402,8225.3958,9179.968434432001,2194.9883,7380.462057737602,2170.7774999999997,4255.895012161537,3123.7483513084526,4037.873289041519,6282.658077555708,4777.174390201922,0.0,0.0,0.0,0.0,True
spare|protect|standard|protect,5268.137855999999,8662.9778,0.6290319999999999,0.3325200000000001,0.0,8606.868999999999,8626.342829056,8568.718799999999,8591.082719424,8537.522799999999,8569.7646063616,8512.61,8540.768856704,7044.147771465535,7481.86930309666,8186.956053430431,8547.80857088,0.4990319999999999,0.0,0.0,499031.99999999994,False
spare|protect|boost|spare,2033.5546839360002,10306.521700000001,0.17433600000000005,0.29935296000000006,0.24000000000000002,10224.2857,10247.566268473602,8601.164200000001,9944.69936557312,8550.5642,9256.993297702402,2123.8725,6781.940995094787,4413.4201369587945,5443.576588044844,7649.954734600292,7944.663978585602,0.04433600000000004,0.0,0.0,44336.000000000044,False
spare|protect|boost|standard,1279.6271517600003,10332.928300000001,0.07809600000000001,0.26544480000000004,0.24000000000000002,10245.588300000001,10270.423587398402,8225.3958,9179.968434432001,2194.9883,7380.462057737602,2170.7774999999997,4255.895012161537,3123.7483513084526,4037.873289041519,6282.658077555708,4777.174390201922,0.0,0.0,0.0,0.0,True
spare|protect|boost|boost,958.3402854880001,10368.410600000001,0.03348,0.25264032000000003,0.24000000000000002,8679.4756,9988.303948172801,2242.8346,6700.451338912,2228.605,4469.680876174721,2228.605,3125.0353504698883,2198.810748584356,2895.0311056176124,4758.973306335269,3349.14293808736,0.0,0.0,0.0,0.0,True
spare|protect|boost|protect,2889.544381600001,8698.4601,0.3325200000000001,0.25108800000000003,0.0,8635.1285,8653.325076992001,8584.5285,8610.955991844481,8559.4925,8591.299098509122,8516.495,8554.725292736,5238.078447476158,6056.855701138353,7545.455644916276,8564.28286592,0.2025200000000001,0.0,0.0,202520.0000000001,False
spare|protect|protect|spare,5366.3384639999995,8636.571199999998,0.6290319999999999,0.6290319999999999,0.0,8585.971199999998,8607.149912217601,8562.8512,8579.835197056,8527.339999999998,8556.742914467837,8512.251199999999,8532.563237657598,7118.106318166446,7542.3733008722875,8209.794394131173,8537.601977452798,0.4990319999999999,0.0,0.0,499031.99999999994,False
spare|protect|protect|standard,5268.137855999999,8662.9778,0.6290319999999999,0.3325200000000001,0.0,8606.868999999999,8626.342829056,8568.718799999999,8591.082719424,8537.522799999999,8569.7646063616,8512.61,8540.768856704,7044.147771465535,7481.86930309666,8186.956053430431,8547.80857088,0.4990319999999999,0.0,0.0,499031.99999999994,False
