instance,selector,sequence,selector_score,num_sequences,feasible_count,feasible_fraction,runtime_sec,mean,worst,prob_catastrophic,prob_immune,prob_no_benefit,prob_offtarget,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,violation_score,feasible
bged_stress_impossible,mean,vector_A|vector_A,9053.0,16,0,0.0,0.01017141342163086,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,null_pomdp_mean,vector_A|vector_A,9053.0,16,0,0.0,0.010354757308959961,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,replan_no_feedback,vector_A|vector_A,9053.0,16,0,0.0,0.010535955429077148,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,worst,pause|pause,11164.0,16,0,0.0,0.010715484619140625,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,chance,vector_A|vector_A,55009053.00000001,16,0,0.0,0.010894298553466797,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,robust20,pause|pause,11164.0,16,0,0.0,0.011076927185058594,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,cvar01,pause|pause,11164.0,16,0,0.0,0.011258363723754883,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,cvar05,pause|pause,11164.0,16,0,0.0,0.011438846588134766,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,cvar10,pause|pause,11164.0,16,0,0.0,0.011626482009887695,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,cvar25,pause|pause,11164.0,16,0,0.0,0.011807441711425781,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,wowa_mild,pause|pause,11164.000000000002,16,0,0.0,0.011988401412963867,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,wowa_balanced,pause|pause,11163.999999999998,16,0,0.0,0.012169361114501953,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,wowa_severe,pause|pause,11164.0,16,0,0.0,0.012351274490356445,11164.0,11164.0,1.0,0.0,1.0,0.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.0,11164.000000000002,11163.999999999998,11164.0,11164.0,1.0,1000000.0,False
bged_stress_impossible,governed_mean,vector_A|vector_A,559053.0,16,0,0.0,0.012532711029052734,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,governed_cvar05,vector_A|vector_A,566439.0,16,0,0.0,0.012714385986328125,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,governed_cvar25,vector_A|vector_A,566439.0,16,0,0.0,0.01289510726928711,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,governed_wowa_balanced,vector_A|vector_A,563904.1465366771,16,0,0.0,0.013078689575195312,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,governed_wowa_severe,vector_A|vector_A,565992.3126184806,16,0,0.0,0.013263940811157227,9053.0,16439.0,0.55,0.55,0.55,0.55,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,16439.0,11764.468133314098,13904.146536677112,15992.312618480695,16439.0,0.55,550000.0,False
bged_stress_impossible,oracle_hidden_state,<scenario-dependent>,1142.5,16,0,0.0,0.013494491577148438,1142.5,11164.0,0.1,0.0,0.1,0.0,11164.0,11164.0,11164.0,11164.0,29.0,11164.0,29.0,4483.0,3048.700262987594,4527.315013732736,7801.10105627164,5596.500000000001,0.1,100000.0,False
