instance,planner,budget,n_seeds,score_mean,score_std,score_sem,loss_mean,loss_std,loss_sem,violation_mean,feasible_rate,sample_feasible_fraction_mean
bsp_hard_H10_A6_S120,beam,100,20,543.36810879986,0.0,0.0,379.1285630895172,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,beam,500,20,79.60586619453964,0.0,0.0,73.91895403658985,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,beam,1000,20,79.60586619453964,0.0,0.0,73.91895403658985,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,beam,5000,20,79.60586619453964,0.0,0.0,73.91895403658985,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,beam,10000,20,79.60586619453964,0.0,0.0,73.91895403658985,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,cem,100,20,153.55831209850822,125.20710175568927,27.997159079145444,107.61433188057609,75.85013147686534,16.960605008456742,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,cem,500,20,78.05841082276996,3.5676140952448394,0.797742763445387,72.61004774614864,3.277512104813499,0.7328739863441399,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,cem,1000,20,73.38966936224386,1.3750185632511793,0.30746349777537313,68.31330273159035,1.2613665431498506,0.28205013350269875,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,cem,5000,20,69.35220623263412,0.6053427087094083,0.1353587446358091,64.59985980220897,0.557576728248867,0.12467794670363937,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,cem,10000,20,69.35220623263412,0.6053427087094083,0.1353587446358091,64.59985980220897,0.557576728248867,0.12467794670363937,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,evolutionary,100,20,312.60601495803246,219.1371594518925,49.00055849306422,205.79673700127304,149.48694493295883,33.426297061886366,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,evolutionary,500,20,75.10021025474828,2.1113345951393723,0.4721087677978633,69.87678095527978,1.9384619880711302,0.43345327771264336,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,evolutionary,1000,20,73.64711437853181,1.925711338215685,0.430602145729236,68.54889916214812,1.769216272460345,0.39560878521201204,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,evolutionary,5000,20,70.92814003770765,1.5767191428994085,0.3525651184948282,66.05909640889476,1.4565725684937474,0.32569952773134875,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,evolutionary,10000,20,70.1360579270133,1.0581678556973764,0.23661352569445215,65.32927859646875,0.9809902136190319,0.21935608029141954,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,open_loop_mcts,100,20,204.87697906307275,195.71149516721536,43.76242071720151,146.03734782364361,130.53193971050356,29.187829042759017,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,open_loop_mcts,500,20,204.65294171133937,195.726308377683,43.76573305175858,145.82339725107823,130.63394415525178,29.210637930005433,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,open_loop_mcts,1000,20,204.65294171133937,195.726308377683,43.76573305175858,145.82339725107823,130.63394415525178,29.210637930005433,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,open_loop_mcts,5000,20,204.65294171133937,195.726308377683,43.76573305175858,145.82339725107823,130.63394415525178,29.210637930005433,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,open_loop_mcts,10000,20,204.65294171133937,195.726308377683,43.76573305175858,145.82339725107823,130.63394415525178,29.210637930005433,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,random,100,20,482.59194912486083,170.75680627665852,38.18238264553712,338.8416876752735,122.67186268600007,27.43026238924161,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,random,500,20,201.8329768960684,177.66974078880457,39.72816179485341,138.85492573197013,113.82697341274582,25.452485022396086,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,random,1000,20,109.51053638083631,78.47362468427156,17.547235923483665,86.28292847999471,39.369018622336384,8.803180184699928,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,random,5000,20,76.82330435882446,2.1015661531873167,0.4699244777739576,71.4672089542297,1.9309613898915012,0.4317760929724872,0.0,1.0,0.08000000000000002
bsp_hard_H10_A6_S120,random,10000,20,75.4105759708083,1.513812008214078,0.3384986555522148,70.16452826889903,1.393591515715219,0.3116165362006196,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,beam,100,20,572.9123235750661,0.0,0.0,406.26589505472026,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,beam,500,20,84.09533217013586,0.0,0.0,78.37630942457571,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,beam,1000,20,61.701995151164304,0.0,0.0,57.91297254307368,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,beam,5000,20,61.701995151164304,0.0,0.0,57.91297254307368,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,beam,10000,20,61.701995151164304,0.0,0.0,57.91297254307368,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,cem,100,20,192.6514269695109,219.05918624734636,48.98312315448535,148.0348525865513,147.54876713531502,32.99290733108513,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,cem,500,20,56.89113539957815,8.498519375611801,1.9003267031967055,53.653929397130824,7.772797413422009,1.7380503391746147,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,cem,1000,20,39.892093575797816,2.293294473664329,0.5127962335538041,38.06977130544337,2.117273001545766,0.473436635838135,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,cem,5000,20,33.769493156706595,0.7049248484525447,0.15762598801686273,32.444361044989975,0.6463891379469482,0.1445370052366865,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,cem,10000,20,33.75826535913773,0.698361557158846,0.15615839146797844,32.434113384768274,0.6404456160295794,0.14320799333338685,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,evolutionary,100,20,455.2413274570089,233.85573474922055,52.29173198274169,337.3060188756488,189.1839040139863,42.30280696240687,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,evolutionary,500,20,43.47732235954211,6.119418546529531,1.368343585281299,41.35597200003549,5.598944886604394,1.2519621368722276,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,evolutionary,1000,20,38.51612615395234,2.40448528600003,0.537659255039409,36.796213073884026,2.211934789699906,0.4946036551565692,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,evolutionary,5000,20,34.72909734811335,1.590009329718922,0.3555368946110386,33.326724918038174,1.4693763482452604,0.3285625399206806,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,evolutionary,10000,20,34.213228588006366,1.6214053109058308,0.3625572494264619,32.85612429619396,1.498495220673448,0.3350737177384378,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,open_loop_mcts,100,20,228.89201054240297,229.677028019899,51.35734475226181,166.80465110152323,152.37095771723895,34.07118192524925,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,open_loop_mcts,500,20,60.82011368149972,13.0600901091169,2.920324927625803,57.211222830627435,11.945381067359268,2.6710684083754317,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,open_loop_mcts,1000,20,60.82011368149972,13.0600901091169,2.920324927625803,57.211222830627435,11.945381067359268,2.6710684083754317,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,open_loop_mcts,5000,20,60.82011368149972,13.0600901091169,2.920324927625803,57.211222830627435,11.945381067359268,2.6710684083754317,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,open_loop_mcts,10000,20,60.82011368149972,13.0600901091169,2.920324927625803,57.211222830627435,11.945381067359268,2.6710684083754317,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,random,100,20,617.4591920220043,215.12884373598578,48.1042718514594,500.17621508899913,226.59685791466754,50.668597778505784,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,random,500,20,445.2333579027613,202.96023082002353,45.383287284262046,315.02702353092496,139.56938213812532,31.208662603849316,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,random,1000,20,371.8991556872642,231.05251037727652,51.66491195755658,265.83451483952,156.02115589903082,34.88739105183252,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,random,5000,20,69.59507782465658,12.581258229839639,2.8132548644400104,65.29496999874715,11.494044581269806,2.5701465020132392,0.0,1.0,0.08000000000000002
bsp_hard_H12_A6_S120,random,10000,20,63.369631051555096,11.222086222129233,2.509334764204477,59.60826675650103,10.250547139226834,2.29209202098772,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,beam,100,20,592.7552387488133,2.750723322633056,0.6150804336701599,422.6648313116922,0.0,0.0,1.190619970414808,0.75,0.08000000000000002
bsp_hard_H6_A6_S120,beam,500,20,583.5364905840331,0.0,0.0,415.40513667708274,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,beam,1000,20,583.5364905840331,0.0,0.0,415.40513667708274,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,beam,5000,20,583.5364905840331,0.0,0.0,415.40513667708274,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,beam,10000,20,583.5364905840331,0.0,0.0,415.40513667708274,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,cem,100,20,766.4265091257682,545.9817777980892,122.08523696327129,450.19426512136954,98.15185114275417,21.947421127263873,2.6186254718618684,0.8,0.08000000000000002
bsp_hard_H6_A6_S120,cem,500,20,587.423351030018,2.4996491653471593,0.558938545361686,418.9367401864958,2.256590944536924,0.5045890749395019,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,cem,1000,20,586.0256153468806,2.482188503736138,0.5550342227322494,417.682242226421,2.2692114225770603,0.5074110996201308,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,cem,5000,20,584.0903561682219,1.0780708779365278,0.24106397676289543,415.9129269459794,0.9979284728616103,0.22314359020011146,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,cem,10000,20,584.0903561682219,1.0780708779365278,0.24106397676289543,415.9129269459794,0.9979284728616103,0.22314359020011146,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,evolutionary,100,20,806.9282535838931,510.6609987894398,114.18727067511252,447.94480160256217,74.86141983195905,16.739522363641132,9.244463516888679,0.65,0.08000000000000002
bsp_hard_H6_A6_S120,evolutionary,500,20,589.5318078435014,9.844011482745039,2.2011878846706403,418.54275593678176,2.9269662549805324,0.6544895513984452,2.571472856516266,0.85,0.08000000000000002
bsp_hard_H6_A6_S120,evolutionary,1000,20,587.784620768054,6.591981281362565,1.474011825153286,417.99414602358974,2.8774526429642497,0.6434179711704494,1.431466081269761,0.85,0.08000000000000002
bsp_hard_H6_A6_S120,evolutionary,5000,20,584.8170229988706,1.8714000056722755,0.41845776257767,416.5847925435746,1.721003436494129,0.38482806735116143,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,evolutionary,10000,20,584.0212205388973,1.366712963757065,0.3056063092691004,415.8448366559231,1.2359249776031767,0.2763612265010608,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,open_loop_mcts,100,20,1608.4882438097968,974.7509003427164,217.9609274295437,597.7578222644363,235.09123537539855,52.56799832137944,1.1539598585352806,0.9,0.08000000000000002
bsp_hard_H6_A6_S120,open_loop_mcts,500,20,1608.4882438097968,974.7509003427164,217.9609274295437,597.7578222644363,235.09123537539855,52.56799832137944,1.1539598585352806,0.9,0.08000000000000002
bsp_hard_H6_A6_S120,open_loop_mcts,1000,20,1608.4882438097968,974.7509003427164,217.9609274295437,597.7578222644363,235.09123537539855,52.56799832137944,1.1539598585352806,0.9,0.08000000000000002
bsp_hard_H6_A6_S120,open_loop_mcts,5000,20,1608.4882438097968,974.7509003427164,217.9609274295437,597.7578222644363,235.09123537539855,52.56799832137944,1.1539598585352806,0.9,0.08000000000000002
bsp_hard_H6_A6_S120,open_loop_mcts,10000,20,1608.4882438097968,974.7509003427164,217.9609274295437,597.7578222644363,235.09123537539855,52.56799832137944,1.1539598585352806,0.9,0.08000000000000002
bsp_hard_H6_A6_S120,random,100,20,771.5824622521732,442.28424099777936,98.8977628247934,436.39046177744405,36.957412146316265,8.263928583163956,0.41304369069461444,0.9,0.08000000000000002
bsp_hard_H6_A6_S120,random,500,20,588.0975553077096,4.692272221230704,1.0492239655605786,418.938450234175,2.3754446323598373,0.5311655674743593,0.6478281385779994,0.95,0.08000000000000002
bsp_hard_H6_A6_S120,random,1000,20,585.6374682325534,1.9394110790130281,0.43366550089893463,417.3152423109688,1.75942030555877,0.3934183404222861,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,random,5000,20,584.0652951095647,0.36586616027998037,0.08181016050528696,415.8860935301549,0.3327615944985784,0.07440775456000413,0.0,1.0,0.08000000000000002
bsp_hard_H6_A6_S120,random,10000,20,583.9766602601147,0.3557094107946257,0.07953904227731805,415.8054786030775,0.3235238553453025,0.0723421332894905,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,beam,100,20,355.9931025826182,0.0,0.0,131.42243089915289,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,beam,500,20,355.09495012591316,0.0,0.0,130.6026180814161,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,beam,1000,20,355.09495012591316,0.0,0.0,130.6026180814161,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,beam,5000,20,355.09495012591316,0.0,0.0,130.6026180814161,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,beam,10000,20,355.09495012591316,0.0,0.0,130.6026180814161,0.0,0.0,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,cem,100,20,457.69674110771246,85.61071725560397,19.143138338604473,208.15000719529544,109.43899257622269,24.471302678952874,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,cem,500,20,357.8406648606425,2.43640504683922,0.5447967305456055,130.63587916920136,2.195609037946317,0.49095310608608794,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,cem,1000,20,348.28717199235405,33.26048343063256,7.437270191539981,127.67932587311847,6.625759767730938,1.4815649243229594,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,cem,5000,20,229.11954140255494,53.512921838741654,11.965853090605938,104.4314043165402,10.099154557575474,2.2582396106015574,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,cem,10000,20,229.11954140255494,53.512921838741654,11.965853090605938,104.4314043165402,10.099154557575474,2.2582396106015574,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,evolutionary,100,20,458.82083446840124,94.94555851238624,21.230472299537944,233.08813120440632,122.73166782061277,27.443635223881362,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,evolutionary,500,20,356.286244499341,1.9987351424253232,0.44693076474807464,129.05330924411274,2.1084977686593853,0.4714744341129011,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,evolutionary,1000,20,355.24726601799745,1.5720328176524951,0.351517224313151,128.1594085165288,1.8077701251968346,0.4042296887633427,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,evolutionary,5000,20,251.18463420849017,69.02220288299276,15.433833760315377,108.70799638149838,13.276970356403455,2.968820825216773,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,evolutionary,10000,20,221.69268251398302,44.905902358285864,10.04126502640953,103.05660457660913,8.766341022245923,1.960213443968688,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,open_loop_mcts,100,20,482.1011048830702,86.69592048120764,19.385797156789653,239.64090199870938,121.08498650203812,27.07542608732017,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,open_loop_mcts,500,20,482.1011048830702,86.69592048120764,19.385797156789653,239.64090199870938,121.08498650203812,27.07542608732017,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,open_loop_mcts,1000,20,482.1011048830702,86.69592048120764,19.385797156789653,239.64090199870938,121.08498650203812,27.07542608732017,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,open_loop_mcts,5000,20,482.1011048830702,86.69592048120764,19.385797156789653,239.64090199870938,121.08498650203812,27.07542608732017,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,open_loop_mcts,10000,20,482.1011048830702,86.69592048120764,19.385797156789653,239.64090199870938,121.08498650203812,27.07542608732017,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,random,100,20,477.11116552559827,99.4910323171159,22.246871141269953,277.9062609669345,133.03401025227484,29.747309024349047,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,random,500,20,415.6494709292104,81.05179994660249,18.123733437931698,175.1287953356624,92.34490452448942,20.648948389248623,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,random,1000,20,384.9033536865517,56.153882074710225,12.556389751955898,135.17112343695283,11.014153235637092,2.4628395349483796,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,random,5000,20,348.7794632243648,33.32590296538611,7.451898444216517,127.24788002572623,6.529053844772289,1.4599408225667196,0.0,1.0,0.08000000000000002
bsp_hard_H8_A6_S120,random,10000,20,347.98107296919835,33.12113600637109,7.406111160226166,126.8746397597696,6.505624490552377,1.454701859696255,0.0,1.0,0.08000000000000002
