sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
noop|noop|noop,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_A,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_B,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_C,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|noop|reboot_D,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_A|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_B|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_C|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
noop|reboot_D|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|noop|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|noop|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|noop|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|noop|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|noop|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_A|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_A|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_A|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_A|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_A|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_B|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_B|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_B|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_B|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_B|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_C|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_C|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_C|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_C|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_C|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_D|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_D|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_D|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_D|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_A|reboot_D|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|noop|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|noop|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|noop|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|noop|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|noop|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_A|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_A|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_A|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_A|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_A|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_B|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_B|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_B|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_B|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_B|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_C|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_C|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_C|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_C|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_C|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_D|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_D|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_D|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_D|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_B|reboot_D|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|noop|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|noop|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|noop|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|noop|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|noop|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_A|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_A|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_A|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_A|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_A|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_B|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_B|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_B|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_B|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_B|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_C|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_C|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_C|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_C|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_C|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_D|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_D|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_D|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_D|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_C|reboot_D|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|noop|noop,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|noop|reboot_A,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|noop|reboot_B,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|noop|reboot_C,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|noop|reboot_D,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_A|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_A|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_A|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_A|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_A|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_B|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_B|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_B|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_B|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_B|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_C|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|noop,252.0,252.0,252.0,252.0,252.0,252.00000000000003,252.0,252.00000000000003,252.0,252.0,252.0,252.0,252.0,252.00000000000003,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|reboot_A,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|reboot_B,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|reboot_C,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
reboot_D|reboot_D|reboot_D,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,258.0,1.0,1.0,1.0,1.0,1.0,1.0,4000000.0,False
